"PIXEL_ID","REEF_ID","REEF_NAME","LONG","LAT","COTS_1985","COTS_1986","COTS_1987","COTS_1988","COTS_1989","COTS_1990","COTS_1991","COTS_1992","COTS_1993","COTS_1994","COTS_1995","COTS_1996","COTS_1997","COTS_1998","COTS_1999","COTS_2000","COTS_2001","COTS_2002","COTS_2003","COTS_2004","COTS_2005","COTS_2006","COTS_2007","COTS_2008","COTS_2009","COTS_2010","COTS_2011","COTS_2012","COTS_2013","COTS_2014","COTS_2015","COTS_2016","COTS_2017"
14408,"21-460","U/N Reef (21-460)",151.72,-21.71,0.0119,0.08,0.1365,NA,0.1763,0.0214,0.4053,0.8191,NA,0.0415,0.0846,0.4559,0.9426,0.1655,0.9687,6.8174,2.9221,2.4467,0.233,0.0308,NA,0.0137,0,0.0016,0,0.0032,0.003,0.0036,0.0024,0,0.0055,0.0202,0.2333
14409,"21-460","U/N Reef (21-460)",151.73,-21.71,0.0104,0.0807,0.137,NA,0.1774,0.0197,0.4057,0.8162,NA,0.0433,0.0835,0.4549,0.9353,0.1684,0.9655,6.9396,2.9171,2.4273,0.2369,0.0307,NA,0.014,0,0.0016,0,0.0032,0.003,0.0036,0.0024,0,0.0057,0.02,0.2325
14410,"21-460","U/N Reef (21-460)",151.74,-21.71,0.009,0.0813,0.1375,NA,0.1822,0.0178,0.3999,0.8132,NA,0.045,0.0824,0.4537,0.9279,0.1711,0.962,7.0565,2.9112,2.4076,0.2406,0.0306,NA,0.0142,0,0.0016,0,0.0031,0.003,0.0037,0.0025,0,0.0059,0.0198,0.2314
14411,"21-460","U/N Reef (21-460)",151.75,-21.71,0.0098,0.0876,0.1359,NA,0.1795,0.0161,0.3957,0.8101,NA,0.0467,0.0814,0.4524,0.9203,0.1736,0.9581,7.1678,2.9045,2.3875,0.244,0.0304,NA,0.0145,0,0.0017,0,0.0031,0.003,0.0038,0.0026,0,0.0061,0.0195,0.23
14412,"21-460","U/N Reef (21-460)",151.76,-21.71,0.0088,0.0883,0.1364,NA,0.1805,0.0149,0.3958,0.8068,NA,0.0483,0.0803,0.4509,0.9126,0.1761,0.9539,7.2732,2.897,2.3671,0.2473,0.0303,NA,0.0144,0,0.0017,0,0.0031,0.0027,0.0038,0.0025,0,0.0062,0.0186,0.2283
14413,"21-460","U/N Reef (21-460)",151.77,-21.71,0.0084,0.089,0.1368,NA,0.1816,0.0142,0.3959,0.8034,NA,0.0498,0.0792,0.4493,0.9048,0.1783,0.9494,7.3724,2.8885,2.3464,0.2504,0.0302,NA,0.0147,0,0.0017,0,0.0031,0.0027,0.0039,0.0026,0,0.0064,0.0183,0.2264
14414,"21-462","U/N Reef (21-462)",151.97,-21.71,0.052,0.1015,0.1409,NA,0.2081,0.0758,0.3918,0.6699,NA,0.0739,0.0772,0.3849,0.7161,0.1858,0.7918,7.8834,2.5486,1.8619,0.2594,0.0261,NA,0.0175,0,0.0019,0,0.0024,0.0026,0.0045,0.0036,0,0.0098,0.0095,0.1598
14415,"21-462","U/N Reef (21-462)",151.98,-21.71,0.0532,0.1022,0.1416,NA,0.2095,0.0816,0.3928,0.6624,NA,0.0757,0.0785,0.3803,0.7054,0.1844,0.7812,7.8409,2.5251,1.8353,0.2576,0.0258,NA,0.0176,0,0.0019,0,0.0024,0.0026,0.0045,0.0037,0,0.0099,0.0091,0.1561
14416,"21-462","U/N Reef (21-462)",151.99,-21.71,0.0542,0.1029,0.1423,NA,0.2109,0.0877,0.3937,0.6547,NA,0.0775,0.0798,0.3756,0.6947,0.183,0.7705,7.794,2.5016,1.8089,0.2556,0.0256,NA,0.0176,0,0.0019,0,0.0024,0.0026,0.0045,0.0037,0,0.01,0.0087,0.1525
14417,"21-506","U/N Reef (21-506)",152.29,-21.71,0.0338,0.0635,0.0962,NA,0.1214,0.3927,0.3548,0.8602,NA,0.1386,0.0915,0.526,0.9129,0.2643,1.0441,13.296,4.9591,2.8707,0.4301,0.0174,NA,0.0273,0,0.0022,0,0.003,0.0019,0.0059,0.0034,0,0.0148,0.003,0.1489
14418,"21-506","U/N Reef (21-506)",152.3,-21.71,0.03,0.0577,0.0877,NA,0.1091,0.4064,0.3512,0.8897,NA,0.1416,0.0915,0.5413,0.9392,0.272,1.0752,13.8914,5.2749,3.0183,0.4515,0.0162,NA,0.0281,0,0.0022,0,0.0031,0.0019,0.0061,0.0034,0,0.0149,0.0029,0.1527
14419,"21-505","Isobel Bennett Reef (21-505)",152.31,-21.71,0.0264,0.0524,0.0799,NA,0.0978,0.42,0.3476,0.9184,NA,0.1443,0.0914,0.5551,0.9629,0.2791,1.1035,14.486,5.6082,3.1705,0.4734,0.0151,NA,0.029,0,0.0023,0,0.0032,0.0018,0.0062,0.0033,0,0.015,0.0029,0.1563
